GoF  Param1  Param2  Param3  Param4  Param5
 6.644554e+01   1.097985e-01   1.771184e+00  -1.279892e+00   2.493679e-01  -5.117813e+00
 9.571273e+01  -4.088227e+00  -2.679610e+00   3.278251e+00  -4.805180e+00   8.717001e-01
 1.080833e+02   5.571580e-01  -4.148945e+00   3.106992e+00  -3.379706e+00  -4.229439e+00
 7.794300e+01  -5.301979e-01  -3.406519e+00   1.824673e+00  -1.789720e+00   2.231671e-01
 9.912993e+01  -2.705082e+00  -2.813726e+00  -3.146934e+00   3.384595e-01  -4.688579e+00
 6.860657e+01  -3.915690e+00   1.081385e+00  -3.227882e+00  -1.431393e+00   3.025810e+00
 1.044755e+02   2.566664e+00   2.493528e+00   1.181505e+00  -5.011178e+00  -3.823111e+00
 9.151753e+01  -2.299689e+00  -1.514418e-01   1.163096e+00  -3.301716e+00   4.618477e+00
 7.346747e+01  -8.092720e-01   4.016046e+00  -1.998572e+00  -3.479326e+00  -2.238004e+00
 8.601830e+01  -2.491826e+00  -6.777828e-01  -1.150160e+00   2.811683e+00  -2.445510e+00
 7.873135e+01   8.640599e-02   1.206435e+00  -2.687528e+00  -5.243128e-01  -4.857899e+00
 7.852479e+01  -1.519620e+00  -2.010509e+00   4.947031e+00   6.144112e-01  -1.815373e+00
 8.942573e+01   4.419691e+00   1.136731e+00  -2.331650e+00   5.442195e-03   2.476676e+00
 8.608051e+01  -2.698535e+00   4.988118e+00  -2.686499e+00  -3.152254e+00   8.382901e-01
 1.261891e+02  -3.048495e+00  -2.383908e+00   2.477584e+00  -3.694356e+00   4.493526e+00
 9.353465e+01   3.245911e+00  -4.626064e+00  -1.150303e+00  -1.910877e+00  -2.618993e+00
 8.291278e+01  -5.408390e-01   2.425739e+00  -3.148046e-01  -8.947745e-01  -2.685293e+00
 1.093055e+02   1.615690e+00   2.587031e+00  -2.574938e+00  -1.686061e+00   4.155826e+00
 9.174748e+01  -3.957435e+00   4.823081e+00   3.145086e+00   3.305561e+00   2.150762e+00
 9.453827e+01   1.654813e+00  -3.937728e+00  -2.748477e+00  -3.837552e-01   2.421208e+00
 1.120726e+02   3.561717e+00  -4.670181e+00  -3.044220e+00   4.298150e+00  -1.080108e+00
 8.662330e+01   8.338703e-01  -4.186326e+00   2.760701e+00  -3.001924e+00   3.448191e+00
 1.017707e+02   5.475963e-01   6.784691e-01  -3.685272e+00  -6.110775e-02   4.434827e+00
 1.282168e+02   4.223271e-01   3.418373e+00   3.466214e+00  -4.719344e+00  -2.942393e-01
 8.690355e+01  -1.147509e+00   4.498045e+00   4.867922e+00  -1.924913e+00  -1.219994e+00
 7.795687e+01   7.820825e-01  -1.559811e+00  -2.633199e+00   6.565593e-01  -7.921443e-01
 6.327152e+01  -1.086486e+00   7.432784e-01   3.841439e+00   4.115057e+00   7.441917e-01
 8.983808e+01   2.453286e+00   4.798689e+00  -7.065494e-01  -1.028345e+00  -4.122625e+00
 9.532452e+01  -3.930319e+00   3.918180e+00   4.928601e+00  -8.530341e-01  -3.516165e+00
 6.722513e+01   2.726411e+00  -7.112913e-01  -1.819520e+00   2.463843e+00  -5.077679e-02
 3.686521e+01  -1.202209e+00   1.363393e-01  -1.609171e+00  -8.912555e-01  -8.932794e-02
 6.160291e+01   4.108348e+00  -2.003804e+00   3.150981e+00   3.819247e+00   1.978706e+00
 1.081978e+02  -4.496181e+00  -2.438342e+00  -3.870513e-02  -4.913119e-01   1.503695e+00
 6.507946e+01   2.919274e+00   1.258290e+00   1.082652e+00  -3.812786e+00  -3.826678e+00
 6.344477e+01  -3.895536e+00  -2.317721e+00  -1.306539e+00  -2.909766e+00   1.044301e+00
 7.093959e+01  -3.933741e+00   1.352905e+00   1.237962e+00   2.576565e+00   4.915992e-02
 1.127609e+02   6.686233e-01   4.884726e+00   4.087237e+00  -4.470027e-01   4.737493e+00
 9.568929e+01  -2.469690e+00  -3.126987e+00   4.466167e+00  -2.027400e+00  -1.751134e+00
 1.113318e+02  -1.779967e-01   3.529301e+00  -4.172059e+00  -4.823259e+00  -1.462379e+00
 9.548429e+01   1.057335e+00  -3.536962e+00  -3.115019e-01  -2.630886e+00   2.626804e+00
