Iter  Part  GoF  Model_Output  
1  1   6.6445544E+01   6.6445544E+01  
1  2   9.5712734E+01   9.5712734E+01  
1  3   1.0808329E+02   1.0808329E+02  
1  4   7.7943003E+01   7.7943003E+01  
1  5   9.9129926E+01   9.9129926E+01  
1  6   6.8606569E+01   6.8606569E+01  
1  7   1.0447548E+02   1.0447548E+02  
1  8   9.1517533E+01   9.1517533E+01  
1  9   7.3467465E+01   7.3467465E+01  
1  10   8.6018299E+01   8.6018299E+01  
1  11   7.8731349E+01   7.8731349E+01  
1  12   7.8524790E+01   7.8524790E+01  
1  13   8.9425732E+01   8.9425732E+01  
1  14   8.6080513E+01   8.6080513E+01  
1  15   1.2618912E+02   1.2618912E+02  
1  16   9.3534651E+01   9.3534651E+01  
1  17   8.2912778E+01   8.2912778E+01  
1  18   1.0930552E+02   1.0930552E+02  
1  19   9.1747481E+01   9.1747481E+01  
1  20   9.4538269E+01   9.4538269E+01  
1  21   1.1207263E+02   1.1207263E+02  
1  22   8.6623303E+01   8.6623303E+01  
1  23   1.0177073E+02   1.0177073E+02  
1  24   1.2821677E+02   1.2821677E+02  
1  25   8.6903554E+01   8.6903554E+01  
1  26   7.7956869E+01   7.7956869E+01  
1  27   6.3271517E+01   6.3271517E+01  
1  28   8.9838077E+01   8.9838077E+01  
1  29   9.5324520E+01   9.5324520E+01  
1  30   6.7225130E+01   6.7225130E+01  
1  31   3.6865211E+01   3.6865211E+01  
1  32   6.1602908E+01   6.1602908E+01  
1  33   1.0819784E+02   1.0819784E+02  
1  34   6.5079455E+01   6.5079455E+01  
1  35   6.3444772E+01   6.3444772E+01  
1  36   7.0939589E+01   7.0939589E+01  
1  37   1.1276090E+02   1.1276090E+02  
1  38   9.5689291E+01   9.5689291E+01  
1  39   1.1133179E+02   1.1133179E+02  
1  40   9.5484292E+01   9.5484292E+01  
