Date            Time    Q	    Flag
2003-01-01      00:00	1.24	C
2003-01-02      00:00	0.78	C
2003-01-03      00:00	0.46	C
2003-01-04      00:00	0.41	C
2003-01-05      00:00	0.32	C
2003-01-06      00:00	0.32	C
2003-01-07      00:00	0.26	C
2003-01-08      00:00	0.25	C
2003-01-09      00:00	0.25	C
2003-01-10      00:00	0.24	C
2003-01-11      00:00	0.21	C
2003-01-12      00:00	0.18	C
2003-01-13      00:00	0.2	C
2003-01-14      00:00	0.44	C
2003-01-15      00:00	0.36	C
2003-01-16      00:00	0.28	C
2003-01-17      00:00	0.17	C
2003-01-18      00:00	0.14	C
2003-01-19      00:00	0.13	C
2003-01-20      00:00	0.13	C
2003-01-21      00:00	0.13	C
2003-01-22      00:00	0.14	C
2003-01-23      00:00	0.14	C
2003-01-24      00:00	0.12	C
2003-01-25      00:00	0.11	C
2003-01-26      00:00	0.1	C
2003-01-27      00:00	0.1	C
2003-01-28      00:00	0.1	C
2003-01-29      00:00	0.09	C
2003-01-30      00:00	0.1	C
2003-01-31      00:00	0.1	C
2003-02-01      00:00	0.1	C
2003-02-02      00:00	0.09	C
2003-02-03      00:00	0.08	C
2003-02-04      00:00	0.09	C
2003-02-05      00:00	0.09	C
2003-02-06      00:00	0.09	C
2003-02-07      00:00	0.38	C
2003-02-08      00:00	0.31	C
2003-02-09      00:00	0.17	C
2003-02-10      00:00	0.22	C
2003-02-11      00:00	0.37	C
2003-02-12      00:00	0.32	C
2003-02-13      00:00	0.29	C
2003-02-14      00:00	0.26	C
2003-02-15      00:00	0.13	C
2003-02-16      00:00	0.4	C
2003-02-17      00:00	0.73	C
2003-02-18      00:00	0.36	C
2003-02-19      00:00	0.27	C
2003-02-20      00:00	0.21	C
2003-02-21      00:00	0.17	C
2003-02-22      00:00	0.55	C
2003-02-23      00:00	0.6	C
2003-02-24      00:00	0.34	C
2003-02-25      00:00	0.23	C
2003-02-26      00:00	0.22	C
2003-02-27      00:00	0.71	C
2003-02-28      00:00	0.82	C
2003-03-01      00:00	0.85	C
2003-03-02      00:00	1.76	C
2003-03-03      00:00	1.24	C
2003-03-04      00:00	1.03	C
2003-03-05      00:00	0.85	C
2003-03-06      00:00	0.73	C
2003-03-07      00:00	0.89	C
2003-03-08      00:00	1.17	C
2003-03-09      00:00	0.83	C
2003-03-10      00:00	0.59	C
2003-03-11      00:00	0.42	C
2003-03-12      00:00	0.34	C
2003-03-13      00:00	0.58	C
2003-03-14      00:00	0.64	C
2003-03-15      00:00	0.54	C
2003-03-16      00:00	0.62	C
2003-03-17      00:00	0.74	C
2003-03-18      00:00	1.74	C
2003-03-19      00:00	1.4	C
2003-03-20      00:00	3.32	C
2003-03-21      00:00	2.47	C
2003-03-22      00:00	1.49	C
2003-03-23      00:00	0.82	C
2003-03-24      00:00	0.55	C
2003-03-25      00:00	0.47	C
2003-03-26      00:00	0.32	C
2003-03-27      00:00	0.27	C
2003-03-28      00:00	0.26	C
2003-03-29      00:00	0.24	C
2003-03-30      00:00	0.27	C
2003-03-31      00:00	0.26	C
2003-04-01      00:00	0.35	C
2003-04-02      00:00	0.34	C
2003-04-03      00:00	0.18	C
2003-04-04      00:00	0.13	C
2003-04-05      00:00	0.13	C
2003-04-06      00:00	0.14	C
2003-04-07      00:00	0.18	C
2003-04-08      00:00	1.8	C
2003-04-09      00:00	3.55	C
2003-04-10      00:00	2.65	C
2003-04-11      00:00	1.71	C
