  1         2,4,5-TP    2600.0 0.40     5.0    20.0 0.75      2.500
  2         2 Plus 2      20.0 0.95    10.0    21.0 0.75 660000.000
  3           Aatrex     171.0 0.45     5.0    61.0 0.99     33.000
  4            Abate  100000.0 0.65     5.0    30.0 0.75      0.001
  5         Acaraben    2000.0 0.05    10.0    20.0 0.75     13.000
  6       Accelerate      20.0 0.90     7.0     7.0 0.75 100000.000
  7          Acclaim    9490.0 0.20     5.0     9.0 0.75      0.800
  8           Alanap      20.0 0.95     7.0    14.0 0.75 231000.000
  9             Alar      10.0 0.95     4.0     7.0 0.75 100000.000
 10           Aldrin     300.0 0.05     2.0    28.0 0.75      0.100
 11          Aliette      20.0 0.95     0.1     0.1 0.75 120000.000
 12             Ally      35.0 0.80    30.0   120.0 0.75   9500.000
 13           Amiben      15.0 0.95     7.0    14.0 0.75 900000.000
 14      Amid-Thin W     100.0 0.60     5.0    10.0 0.75    100.000
 15        Amitrol T     100.0 0.95     5.0    14.0 0.75 360000.000
 16             Ammo  100000.0 0.40     5.0    30.0 0.75      0.004
 17            Antor    1400.0 0.40    10.0    21.0 0.75    105.000
 18           A-Rest     120.0 0.50    30.0   120.0 0.75    650.000
 19          Arsenal     100.0 0.90    30.0    90.0 0.75  11000.000
 20         Arsonate   10000.0 0.95    30.0   100.0 0.751000000.000
 21            Asana    5300.0 0.40     8.0    35.0 0.75      0.002
 22       Assert (m)      66.0 0.65    18.0    35.0 0.75   1370.000
 23       Assert (p)      35.0 0.65    18.0    35.0 0.75    875.000
 24           Assure     510.0 0.20    15.0    60.0 0.75      0.310
 25           Asulox      40.0 0.95     3.0     7.0 0.75 550000.000
 26           Avenge   54500.0 0.95    30.0   100.0 0.75 817000.000
 27          Azodrin       1.0 0.95     2.0    30.0 0.751000000.000
 28            Balan    9000.0 0.20    10.0    30.0 0.75      0.100
 29            Banol 1000000.0 0.95    15.0    30.0 0.751000000.000
 30           Banvel       2.0 0.65     9.0    14.0 0.75 400000.000
 31         Basagran      34.0 0.60     2.0    20.0 0.752300000.000
 32            Basta     100.0 0.95     4.0     7.0 0.751370000.000
 33         Bayleton     300.0 0.30     8.0    26.0 0.75     71.500
 34           Baytex    1500.0 0.65     2.0    34.0 0.75      4.200
 35        Baythroid  100000.0 0.40     5.0    30.0 0.75      0.002
 36          Benlate    1900.0 0.25     6.0   240.0 0.75      2.000
 37           Benzex   55000.0 0.05     3.0   600.0 0.75      0.100
 38          Betamix    2400.0 0.70     5.0    30.0 0.75      4.700
 39          Betanex    1500.0 0.70     5.0    30.0 0.75      8.000
 40           Bidrin      75.0 0.70    20.0    28.0 0.751000000.000
 41           Bladex     190.0 0.60     5.0    14.0 0.75    170.000
 42           Bolero     900.0 0.70     7.0    21.0 0.75     28.000
 43          Bolstar   12000.0 0.55     0.5   140.0 0.75      0.310
 44     Bordermaster    1000.0 0.50     8.0    25.0 0.75      5.000
