!------------------------------------------------------------------------------------------------------------!
! Line start with ! or blank line will be ignored by the program
! IMPORTANT: check (modify if needed) the AbsoluteMin and AbsoluteMax of the parameters that you calibrate
!------------------------------------------------------------------------------------------------------------!
!Parameter(SWAT) AtLine         StartPosition  EndPosition   RoundUp    AbsoluteMin   AbsoluteMax            !
!------------------------------------------------------------------------------------------------------------!
HRU_FR.hru        2              1              16            7          0.0           1.0
SLSUBBSN.hru      3              1              16            3         10.0         150.0
HRU_SLP.hru       4              1              16            3          0.0           1.0
OV_N.hru          5              1              16            3          0.01         30.0
LAT_TTIME.hru     6              1              16            3          0.0         180.0
LAT_SED.hru       7              1              16            3          0.0        5000.0
SLSOIL.hru        8              1              16            3          0.0         150.0
CANMX.hru         9              1              16            3          0.0         100.0
ESCO.hru         10              1              16            3          0.0           1.0
EPCO.hru         11              1              16            3          0.0           1.0
RSDIN.hru        12              1              16            3          0.0       10000.0
ERORGN.hru       13              1              16            3          0.0           5.0
ERORGP.hru       14              1              16            3          0.0           5.0
POT_FR.hru       15              1              16            3          0.0           1.0
FLD_FR.hru       16              1              16            3          0.0           1.0
RIP_FR.hru       17              1              16            3          0.0           1.0
POT_TILE.hru     19              1              16            3          0.0         100.0
POT_VOLX.hru     20              1              16            3          0.0         100.0
POT_VOL.hru      21              1              16            3          0.0         100.0
POT_NSED.hru     22              1              16            3          0.0         100.0
POT_NO3L.hru     23              1              16            3          0.0           1.0
DEP_IMP.hru      24              1              16            0          0.0        6000.0
EVPOT.hru        28              1              16            1          0.0           2.0
DIS_STREAM.hru   29              1              16            1          0.0      100000.0
CF.hru           30              1              16            1          0.5           1.0
CFH.hru          31              1              16            1          0.5           1.5
CFDEC.hru        32              1              16            3          0.045         0.065
SED_CON.hru      33              1              16            1          0.0        5000.0
ORGN_CON.hru     34              1              16            1          0.0         100.0
ORGP_CON.hru     35              1              16            1          0.0          50.0
SOLN_CON.hru     36              1              16            1          0.0          10.0
SOLP_CON.hru     37              1              16            1          0.0           3.0
POT_SOLP.hru     38              1              16            1          0.0         Inf
POT_K.hru        39              1              16            1          0.0         Inf
N_REDUC.hru      40              1              16            1          0.0         Inf
N_LAG.hru        41              1              16            1          0.0         Inf
N_LN.hru         42              1              16            1          0.0         Inf
N_LNCO.hru       43              1              16            1          0.0         Inf
SURLAG.hru       44              1              16            1          0.0         Inf
R2ADJ.hru        45              1              16            1          0.0         Inf
!--------------------------------------------------------------------------------------
SHALLST.gw        2              1              16            4          0.0       50000.0
DEEPST.gw         3              1              16            4          0.0       50000.0
GW_DELAY.gw       4              1              16            4          0.0         500.0
ALPHA_BF.gw       5              1              16            4          0.0           1.0
GWQMN.gw          6              1              16            4          0.0       50000.0
GW_REVAP.gw       7              1              16            4          0.02          0.2
REVAPMN.gw        8              1              16            4          0.0         500.0
RCHRG_DP.gw       9              1              16            4          0.0           1.0
GWHT.gw          10              1              16            4          0.0          25.0
GW_SPYLD.gw      11              1              16            4          0.0           0.4
SHALLST_N.gw     12              1              16            4          0.0        1000.0
GWSOLP.gw        13              1              16            4          0.0        1000.0
HLIFE_NGW.gw     14              1              16            4          0.0         200.0
LAT_ORGN.gw      15              1              16            4          0.0         200.0
