date	Q_reach_2
2000-01-01	18.1
2000-02-01	43.6
2000-03-01	37.2
2000-04-01	66.6
2000-05-01	43.2
2000-06-01	101.9
2000-07-01	94.3
2000-08-01	135.4
2000-09-01	95.5
2000-10-01	142.5
2000-11-01	28.3
2000-12-01	26.9
2001-01-01	24.9
2001-02-01	15.8
2001-03-01	28.5
2001-04-01	32.6
2001-05-01	71.6
2001-06-01	121.0
2001-07-01	114.9
2001-08-01	166.7
2001-09-01	47.8
2001-10-01	114.4
2001-11-01	59.9
2001-12-01	20.8
2002-01-01	20.3
2002-02-01	15.5
2002-03-01	27.0
2002-04-01	20.3
2002-05-01	31.2
2002-06-01	61.7
2002-07-01	109.7
2002-08-01	188.8
2002-09-01	123.8
2002-10-01	68.0
2002-11-01	28.2
2002-12-01	28.5
2003-01-01	17.8
2003-02-01	15.6
2003-03-01	20.8
2003-04-01	15.9
2003-05-01	101.4
2003-06-01	74.3
2003-07-01	114.2
2003-08-01	92.8
2003-09-01	148.3
2003-10-01	54.2
2003-11-01	24.1
2003-12-01	18.5
2004-01-01	17.1
2004-02-01	14.8
2004-03-01	26.0
2004-04-01	40.5
2004-05-01	121.2
2004-06-01	138.3
2004-07-01	76.1
2004-08-01	179.4
2004-09-01	68.9
2004-10-01	28.7
2004-11-01	19.0
2004-12-01	18.2
2005-01-01	16.9
2005-02-01	14.3
2005-03-01	36.4
2005-04-01	31.7
2005-05-01	41.7
2005-06-01	19.3
2005-07-01	103.1
2005-08-01	108.3
2005-09-01	154.5
2005-10-01	37.7
2005-11-01	29.0
2005-12-01	17.9
2006-01-01	32.5
2006-02-01	16.1
2006-03-01	48.0
2006-04-01	33.1
2006-05-01	55.1
2006-06-01	44.5
2006-07-01	117.9
2006-08-01	210.1
2006-09-01	167.8
2006-10-01	145.3
2006-11-01	30.8
2006-12-01	21.5
2007-01-01	19.9
2007-02-01	20.2
2007-03-01	21.4
2007-04-01	31.3
2007-05-01	53.8
2007-06-01	54.6
2007-07-01	124.2
2007-08-01	156.8
2007-09-01	135.2
2007-10-01	104.6
2007-11-01	32.2
2007-12-01	21.5
