Date	myObserved_Colmn_5_watout
1998-01-01	42.40
1998-01-02	3.12
1998-01-03	12.80
1998-01-04	1.48
1998-01-05	16.50
1998-01-06	NA
1998-01-07	NA
1998-01-08	82.70
1998-01-09	59.40
1998-01-10	52.30
1998-01-11	47.70
1998-01-12	51.00
1998-01-13	47.60
1998-01-14	50.70
1998-01-15	56.40
1998-01-16	68.70
1998-01-17	56.30
1998-01-18	56.60
1998-01-19	597.00
1998-01-20	53.30
1998-01-21	52.00
1998-01-22	50.70
1998-01-23	51.60
1998-01-24	51.40
1998-01-25	49.30
1998-01-26	51.40
1998-01-27	50.10
1998-01-28	47.50
1998-01-29	49.30
1998-01-30	47.40
