Date	Time	Qobs	Cali_Valid_Flag
2000-01-01	00:00	6.96	C
2000-01-02	00:00	6.96	C
2000-01-03	00:00	6.96	C
2000-01-04	00:00	6.96	C
2000-01-05	00:00	6.76	C
2000-01-06	00:00	6.96	C
2000-01-07	00:00	7.36	C
2000-01-08	00:00	6.96	C
2000-01-09	00:00	6.57	C
2000-01-10	00:00	6.57	C
2000-01-11	00:00	6.21	C
2000-01-12	00:00	6.2	C
2000-01-13	00:00	6.57	C
2000-01-14	00:00	5.98	C
2000-01-15	00:00	5.83	C
2000-01-16	00:00	5.87	C
2000-01-17	00:00	5.87	C
2000-01-18	00:00	5.83	C
2000-01-19	00:00	5.65	C
2000-01-20	00:00	5.65	C
2000-01-21	00:00	5.65	C
2000-01-22	00:00	5.52	C
2000-01-23	00:00	5.65	C
2000-01-24	00:00	5.83	C
2000-01-25	00:00	5.83	C
2000-01-26	00:00	5.46	C
2000-01-27	00:00	5.46	C
2000-01-28	00:00	5.12	C
2000-01-29	00:00	5.12	C
2000-01-30	00:00	5.12	C
2000-01-31	00:00	5.12	C
2000-02-01	00:00	5.12	C
2000-02-02	00:00	5.12	C
2000-02-03	00:00	5.12	C
2000-02-04	00:00	5.12	C
2000-02-05	00:00	5.12	C
2000-02-06	00:00	4.95	C
2000-02-07	00:00	4.95	C
2000-02-08	00:00	4.83	C
2000-02-09	00:00	4.77	C
2000-02-10	00:00	4.6	C
2000-02-11	00:00	4.6	C
2000-02-12	00:00	4.44	C
2000-02-13	00:00	4.44	C
2000-02-14	00:00	4.77	C
2000-02-15	00:00	4.6	C
2000-02-16	00:00	4.44	C
2000-02-17	00:00	4.6	C
2000-02-18	00:00	5.46	C
2000-02-19	00:00	4.95	C
2000-02-20	00:00	5.83	C
2000-02-21	00:00	5.46	C
2000-02-22	00:00	6.57	C
2000-02-23	00:00	5.46	C
2000-02-24	00:00	5.29	C
2000-02-25	00:00	5.12	C
2000-02-26	00:00	5.12	C
2000-02-27	00:00	4.6	C
2000-02-28	00:00	4.44	C
2000-02-29	00:00	4.44	C
2000-03-01	00:00	4.28	C
2000-03-02	00:00	4.44	C
2000-03-03	00:00	4.28	C
2000-03-04	00:00	4.12	C
2000-03-05	00:00	4.12	C
2000-03-06	00:00	3.96	C
2000-03-07	00:00	3.8	C
2000-03-08	00:00	3.96	C
2000-03-09	00:00	3.8	C
2000-03-10	00:00	3.8	C
2000-03-11	00:00	4.44	C
2000-03-12	00:00	6.57	C
2000-03-13	00:00	6.2	C
2000-03-14	00:00	5.46	C
2000-03-15	00:00	4.95	C
2000-03-16	00:00	5.12	C
2000-03-17	00:00	4.77	C
2000-03-18	00:00	4.44	C
2000-03-19	00:00	4.28	C
2000-03-20	00:00	4.14	C
2000-03-21	00:00	3.8	C
2000-03-22	00:00	3.8	C
2000-03-23	00:00	3.8	C
2000-03-24	00:00	4.12	C
2000-03-25	00:00	3.63	C
2000-03-26	00:00	3.45	C
2000-03-27	00:00	3.45	C
2000-03-28	00:00	3.34	C
2000-03-29	00:00	3.45	C
2000-03-30	00:00	3.8	C
2000-03-31	00:00	4.12	C
2000-04-01	00:00	6.2	C
2000-04-02	00:00	5.12	C
2000-04-03	00:00	4.77	C
2000-04-04	00:00	8.63	C
2000-04-05	00:00	6.38	C
2000-04-06	00:00	5.12	C
2000-04-07	00:00	4.44	C
2000-04-08	00:00	4.12	C
2000-04-09	00:00	3.96	C
2000-04-10	00:00	6.42	C
2000-04-11	00:00	4.44	C
2000-04-12	00:00	4.28	C
2000-04-13	00:00	6.01	C
2000-04-14	00:00	5.98	C
2000-04-15	00:00	4.83	C
2000-04-16	00:00	5.46	C
2000-04-17	00:00	10.01	C
2000-04-18	00:00	9.09	C
2000-04-19	00:00	9.09	C
2000-04-20	00:00	8.64	C
2000-04-21	00:00	6.96	C
2000-04-22	00:00	6.38	C
2000-04-23	00:00	5.83	C
2000-04-24	00:00	5.46	C
2000-04-25	00:00	5.46	C
2000-04-26	00:00	5.46	C
2000-04-27	00:00	6.2	C
2000-04-28	00:00	6.57	C
2000-04-29	00:00	9.09	C
2000-04-30	00:00	9.78	C
2000-05-01	00:00	6.96	C
2000-05-02	00:00	6.21	C
2000-05-03	00:00	5.98	C
2000-05-04	00:00	5.98	C
2000-05-05	00:00	7.82	C
2000-05-06	00:00	9.32	C
2000-05-07	00:00	7.57	C
2000-05-08	00:00	9.55	C
2000-05-09	00:00	8.2	C
2000-05-10	00:00	7.15	C
2000-05-11	00:00	12.42	C
2000-05-12	00:00	11.85	C
2000-05-13	00:00	11.85	C
2000-05-14	00:00	10.01	C
2000-05-15	00:00	9.55	C
2000-05-16	00:00	9.55	C
2000-05-17	00:00	9.55	C
2000-05-18	00:00	9.55	C
2000-05-19	00:00	9.32	C
2000-05-20	00:00	10.24	C
2000-05-21	00:00	10.47	C
2000-05-22	00:00	11.41	C
2000-05-23	00:00	10.47	C
2000-05-24	00:00	10.24	C
2000-05-25	00:00	10.24	C
2000-05-26	00:00	9.32	C
2000-05-27	00:00	9.55	C
2000-05-28	00:00	10.93	C
2000-05-29	00:00	9.55	C
2000-05-30	00:00	13.34	C
2000-05-31	00:00	11.62	C
2000-06-01	00:00	17.71	C
2000-06-02	00:00	15.87	C
2000-06-03	00:00	15.3	C
2000-06-04	00:00	13.34	C
2000-06-05	00:00	12.19	C
2000-06-06	00:00	13.11	C
2000-06-07	00:00	14.72	C
2000-06-08	00:00	16.91	C
2000-06-09	00:00	15.3	C
2000-06-10	00:00	13.34	C
2000-06-11	00:00	12.88	C
2000-06-12	00:00	12.65	C
2000-06-13	00:00	12.42	C
2000-06-14	00:00	13.11	C
2000-06-15	00:00	27.6	C
2000-06-16	00:00	40.25	C
2000-06-17	00:00	29.1	C
2000-06-18	00:00	33.24	C
2000-06-19	00:00	26.22	C
2000-06-20	00:00	22.77	C
2000-06-21	00:00	22.31	C
2000-06-22	00:00	22.54	C
2000-06-23	00:00	21.39	C
2000-06-24	00:00	20.82	C
2000-06-25	00:00	19.32	C
2000-06-26	00:00	21.62	C
2000-06-27	00:00	30.36	C
2000-06-28	00:00	23.92	C
2000-06-29	00:00	18.17	C
2000-06-30	00:00	17.48	C
2000-07-01	00:00	26.22	C
2000-07-02	00:00	29.44	C
2000-07-03	00:00	35.88	C
2000-07-04	00:00	34.39	C
2000-07-05	00:00	35.54	C
2000-07-06	00:00	35.42	C
2000-07-07	00:00	41.63	C
2000-07-08	00:00	50.14	C
2000-07-09	00:00	46.23	C
2000-07-10	00:00	38.41	C
2000-07-11	00:00	43.24	C
2000-07-12	00:00	44.28	C
2000-07-13	00:00	43.47	C
2000-07-14	00:00	41.17	C
2000-07-15	00:00	49.22	C
2000-07-16	00:00	58.19	C
2000-07-17	00:00	63.25	C
2000-07-18	00:00	59.11	C
2000-07-19	00:00	53.02	C
2000-07-20	00:00	51.06	C
2000-07-21	00:00	49.34	C
2000-07-22	00:00	49.45	C
2000-07-23	00:00	51.64	C
2000-07-24	00:00	60.03	C
2000-07-25	00:00	56.93	C
2000-07-26	00:00	47.84	C
2000-07-27	00:00	51.29	C
2000-07-28	00:00	43.7	C
2000-07-29	00:00	38.41	C
2000-07-30	00:00	34.39	C
2000-07-31	00:00	31.51	C
2000-08-01	00:00	32.43	C
2000-08-02	00:00	33.93	C
2000-08-03	00:00	34.27	C
2000-08-04	00:00	31.28	C
2000-08-05	00:00	28.64	C
2000-08-06	00:00	30.48	C
2000-08-07	00:00	31.86	C
2000-08-08	00:00	26.68	C
2000-08-09	00:00	24.15	C
2000-08-10	00:00	28.41	C
2000-08-11	00:00	29.21	C
2000-08-12	00:00	25.3	C
2000-08-13	00:00	25.88	C
2000-08-14	00:00	24.38	C
2000-08-15	00:00	22.54	C
2000-08-16	00:00	23	C
2000-08-17	00:00	34.5	C
2000-08-18	00:00	52.21	C
2000-08-19	00:00	39.33	C
2000-08-20	00:00	32.78	C
2000-08-21	00:00	32.89	C
2000-08-22	00:00	41.63	C
2000-08-23	00:00	57.96	C
2000-08-24	00:00	62.79	C
2000-08-25	00:00	58.42	C
2000-08-26	00:00	62.1	C
2000-08-27	00:00	66.24	C
2000-08-28	00:00	67.16	C
2000-08-29	00:00	78.66	C
2000-08-30	00:00	82.11	C
2000-08-31	00:00	96.83	C
2000-09-01	00:00	85.56	C
2000-09-02	00:00	82.69	C
2000-09-03	00:00	95.8	C
2000-09-04	00:00	94.07	C
2000-09-05	00:00	81.31	C
2000-09-06	00:00	82.11	C
2000-09-07	00:00	80.04	C
2000-09-08	00:00	73.83	C
2000-09-09	00:00	70.38	C
2000-09-10	00:00	72.11	C
2000-09-11	00:00	75.67	C
2000-09-12	00:00	72.45	C
2000-09-13	00:00	67.85	C
2000-09-14	00:00	59.11	C
2000-09-15	00:00	56.01	C
2000-09-16	00:00	58.19	C
2000-09-17	00:00	57.16	C
2000-09-18	00:00	51.87	C
2000-09-19	00:00	54.63	C
2000-09-20	00:00	51.06	C
2000-09-21	00:00	41.17	C
2000-09-22	00:00	42.78	C
2000-09-23	00:00	40.37	C
2000-09-24	00:00	46	C
2000-09-25	00:00	45.54	C
2000-09-26	00:00	39.56	C
2000-09-27	00:00	46	C
2000-09-28	00:00	45.2	C
2000-09-29	00:00	37.26	C
2000-09-30	00:00	35.08	C
2000-10-01	00:00	35.42	C
2000-10-02	00:00	36.92	C
2000-10-03	00:00	46	C
2000-10-04	00:00	34.27	C
2000-10-05	00:00	30.71	C
2000-10-06	00:00	28.64	C
2000-10-07	00:00	29.9	C
2000-10-08	00:00	39.22	C
2000-10-09	00:00	36.8	C
2000-10-10	00:00	111.32	C
2000-10-11	00:00	121.9	C
2000-10-12	00:00	82.8	C
2000-10-13	00:00	82.11	C
2000-10-14	00:00	131.1	C
2000-10-15	00:00	107.64	C
2000-10-16	00:00	92.46	C
2000-10-17	00:00	90.39	C
2000-10-18	00:00	87.86	C
2000-10-19	00:00	85.68	C
2000-10-20	00:00	82.34	C
2000-10-21	00:00	74.52	C
2000-10-22	00:00	69.46	C
2000-10-23	00:00	78.2	C
2000-10-24	00:00	75.79	C
2000-10-25	00:00	64.29	C
2000-10-26	00:00	55.32	C
2000-10-27	00:00	50.14	C
2000-10-28	00:00	46.81	C
2000-10-29	00:00	44.85	C
2000-10-30	00:00	43.59	C
2000-10-31	00:00	42.32	C
2000-11-01	00:00	43.24	C
2000-11-02	00:00	38.41	C
2000-11-03	00:00	34.62	C
2000-11-04	00:00	33.24	C
2000-11-05	00:00	31.74	C
2000-11-06	00:00	29.33	C
2000-11-07	00:00	27.95	C
2000-11-08	00:00	26.57	C
2000-11-09	00:00	25.19	C
2000-11-10	00:00	24.27	C
2000-11-11	00:00	19.44	C
2000-11-12	00:00	16.68	C
2000-11-13	00:00	16.33	C
2000-11-14	00:00	17.25	C
2000-11-15	00:00	12.19	C
2000-11-16	00:00	11.62	C
2000-11-17	00:00	13.92	C
2000-11-18	00:00	10.93	C
2000-11-19	00:00	10.01	C
2000-11-20	00:00	9.55	C
2000-11-21	00:00	9.09	C
2000-11-22	00:00	8.64	C
2000-11-23	00:00	8.17	C
2000-11-24	00:00	8.17	C
2000-11-25	00:00	7.94	C
2000-11-26	00:00	7.94	C
2000-11-27	00:00	7.59	C
2000-11-28	00:00	7.13	C
2000-11-29	00:00	7.02	C
2000-11-30	00:00	6.79	C
2000-12-01	00:00	6.56	C
2000-12-02	00:00	6.44	C
2000-12-03	00:00	6.21	C
2000-12-04	00:00	5.87	C
2000-12-05	00:00	5.87	C
2000-12-06	00:00	5.83	C
2000-12-07	00:00	8.42	C
2000-12-08	00:00	10.47	C
2000-12-09	00:00	9.32	C
2000-12-10	00:00	8.86	C
2000-12-11	00:00	5.46	C
2000-12-12	00:00	5.29	C
2000-12-13	00:00	5.18	C
2000-12-14	00:00	5.18	C
2000-12-15	00:00	4.83	C
